FECHA,VALOR UNIDAD
07/18/2017,12072.67558536
07/19/2017,12114.58452806
07/20/2017,12113.96586923
07/21/2017,12126.21747791
07/22/2017,12125.77032343
07/23/2017,12125.32281636
07/24/2017,12110.25571622
07/25/2017,12158.39523073
07/26/2017,12220.69613953
07/27/2017,12179.58004506
07/28/2017,12194.88083033
07/29/2017,12194.41934759
07/30/2017,12193.9514908
07/31/2017,12220.96349465
08/01/2017,12263.91534923
08/02/2017,12274.47244854
08/03/2017,12265.89941704
08/04/2017,12278.05568598
08/05/2017,12277.57086444
08/06/2017,12277.08671276
08/07/2017,12276.60258765
08/08/2017,12262.53288041
08/09/2017,12223.11466381
08/10/2017,12079.53164817
08/11/2017,12081.04009104
08/12/2017,12081.6324042
08/13/2017,12082.16800849
08/14/2017,12168.84364548
08/15/2017,12150.40132901
08/16/2017,12202.35523448
08/17/2017,12077.91741572
08/18/2017,12110.81757119
08/19/2017,12111.24626699
08/20/2017,12111.67638074
08/21/2017,12112.10965011
08/22/2017,12169.00839233
08/23/2017,12192.32019633
08/24/2017,12175.77778582
08/25/2017,12245.35159954
08/26/2017,12245.80800289
08/27/2017,12246.26786673
08/28/2017,12250.00880436
08/29/2017,12213.06589237
08/30/2017,12209.92452124
08/31/2017,12291.43250786
09/01/2017,12313.66714647
09/02/2017,12314.09407989
09/03/2017,12314.52440882
09/04/2017,12316.04179628
09/05/2017,12250.57396634
09/06/2017,12324.56231776
09/07/2017,12398.31907776
09/08/2017,12390.58058528
09/09/2017,12390.99466103
09/10/2017,12391.40103506
09/11/2017,12478.16637693
09/12/2017,12520.39890064
09/13/2017,12461.06061805
09/14/2017,12493.97447602
09/15/2017,12508.23536707
09/16/2017,12508.70378441
09/17/2017,12509.17240638
09/18/2017,12534.22079825
09/19/2017,12557.80986384
09/20/2017,12523.26493355
09/21/2017,12521.63619284
09/22/2017,12524.90273409
09/23/2017,12525.3246432
09/24/2017,12525.75057283
09/25/2017,12448.1294876
09/26/2017,12409.00504574
09/27/2017,12412.57877947
09/28/2017,12458.27745968
09/29/2017,12554.11241587
09/30/2017,12554.38818263
10/01/2017,12554.85772155
10/02/2017,12555.24091239
10/03/2017,12602.48117797
10/04/2017,12612.9802727
10/05/2017,12616.88038143
10/06/2017,12612.1033647
10/07/2017,12612.52434115
10/08/2017,12612.95255044
10/09/2017,12599.33527086
10/10/2017,12677.4746803
10/11/2017,12695.67029534
10/12/2017,12684.06742414
10/13/2017,12736.16037167
10/14/2017,12736.50490396
10/15/2017,12736.85110156
10/16/2017,12737.20490081
10/17/2017,12734.33387622
10/18/2017,12768.53874079
10/19/2017,12739.24106108
10/20/2017,12759.22039314
10/21/2017,12759.5263193
10/22/2017,12759.83763495
10/23/2017,12714.90454834
10/24/2017,12734.15117253
10/25/2017,12700.69963372
10/26/2017,12702.76793756
10/27/2017,12767.99887592
10/28/2017,12768.2343485
10/29/2017,12768.47267633
10/30/2017,12750.15025839
10/31/2017,12781.43555386
11/01/2017,12812.39147138
11/02/2017,12864.1408853
11/03/2017,12840.94026519
11/04/2017,12841.00980217
11/05/2017,12841.07865574
11/06/2017,12841.14519826
11/07/2017,12832.44325774
11/08/2017,12877.21427419
11/09/2017,12822.9856543
11/10/2017,12784.78924032
11/11/2017,12784.83266085
11/12/2017,12784.87572309
11/13/2017,12784.92153778
11/14/2017,12756.87055415
11/15/2017,12709.46152457
11/16/2017,12835.49247333
11/17/2017,12821.51046098
11/18/2017,12821.56460354
11/19/2017,12821.62091718
11/20/2017,12843.98539737
11/21/2017,12953.71615449
11/22/2017,12969.6613447
11/23/2017,12970.14131143
11/24/2017,12997.89366368
11/25/2017,12997.90162083
11/26/2017,12997.90895644
11/27/2017,12943.52803281
11/28/2017,13036.40899832
11/29/2017,12989.43474008
11/30/2017,12986.47867734
12/01/2017,12962.32541527
12/02/2017,12962.34129157
12/03/2017,12962.36038058
12/04/2017,12952.05518432
12/05/2017,12928.0250845
12/06/2017,12883.91506238
12/07/2017,12894.69018246
12/08/2017,12894.67454238
12/09/2017,12894.66262983
12/10/2017,12894.65285295
12/11/2017,12987.57345046
12/12/2017,12962.69238079
12/13/2017,12990.95056327
12/14/2017,12925.64366569
12/15/2017,12923.74212018
12/16/2017,12923.70180335
12/17/2017,12923.66100087
12/18/2017,13075.21596341
12/19/2017,12939.05969539
12/20/2017,12923.74254008
12/21/2017,12942.02374411
12/22/2017,12986.79523637
12/23/2017,12986.76697259
12/24/2017,12986.73717091
12/25/2017,12986.70827091
12/26/2017,13062.84692
12/27/2017,13090.75118561
12/28/2017,13144.79601948
12/29/2017,13144.77292362
12/30/2017,13144.76769881
12/31/2017,13144.76033405
01/01/2018,13144.75750789
01/02/2018,13225.56787641
01/03/2018,13288.7770433
01/04/2018,13417.08854894
01/05/2018,13495.55297408
01/06/2018,13495.52796163
01/07/2018,13495.50215156
01/08/2018,13495.48064488
01/09/2018,13491.24944184
01/10/2018,13477.19658058
01/11/2018,13555.9239135
01/12/2018,13669.99451905
01/13/2018,13670.00226208
01/14/2018,13670.01591882
01/15/2018,13671.69165198
01/16/2018,13686.8766614
01/17/2018,13763.50119205
01/18/2018,13728.6638986
01/19/2018,13805.80681569
01/20/2018,13805.8350174
01/21/2018,13805.86541529
01/22/2018,13866.04987662
01/23/2018,13896.40576082
01/24/2018,13929.86991868
01/25/2018,13903.39896377
01/26/2018,14035.38410123
01/27/2018,14035.32682855
01/28/2018,14035.25186391
01/29/2018,13958.84210798
01/30/2018,13819.50618919
01/31/2018,13847.67895428
02/01/2018,13866.56531067
02/02/2018,13596.77798066
02/03/2018,13596.67892405
02/04/2018,13596.5739697
02/05/2018,13139.22492286
02/06/2018,13438.2047431
02/07/2018,13233.99352468
02/08/2018,12892.84477766
02/09/2018,13034.82903438
02/10/2018,13034.87963694
02/11/2018,13034.92933648
02/12/2018,13212.05608736
02/13/2018,13162.6785194
02/14/2018,13389.38493774
02/15/2018,13475.55360558
02/16/2018,13551.73749841
