FECHA,VALOR UNIDAD
07/19/2017,17557.1199998
07/20/2017,17556.16254483
07/21/2017,17588.42426928
07/22/2017,17587.73647821
07/23/2017,17587.047829
07/24/2017,17649.28068911
07/25/2017,17666.63418299
07/26/2017,17669.12559708
07/27/2017,17558.51335154
07/28/2017,17514.07686153
07/29/2017,17513.39174185
07/30/2017,17512.69973008
07/31/2017,17517.5682501
08/01/2017,17419.91801337
08/02/2017,17396.41670171
08/03/2017,17334.20126299
08/04/2017,17459.52452833
08/05/2017,17458.82836496
08/06/2017,17458.13223969
08/07/2017,17457.43615253
08/08/2017,17568.80757568
08/09/2017,17618.81057167
08/10/2017,17387.05213654
08/11/2017,17306.83573979
08/12/2017,17306.145236
08/13/2017,17305.45644936
08/14/2017,17287.9037537
08/15/2017,17331.39562367
08/16/2017,17330.59824033
08/17/2017,17315.40433828
08/18/2017,17383.00640677
08/19/2017,17382.3072072
08/20/2017,17381.61445328
08/21/2017,17380.92339015
08/22/2017,17419.01017609
08/23/2017,17424.6454505
08/24/2017,17333.95435229
08/25/2017,17176.57101705
08/26/2017,17175.91234855
08/27/2017,17175.25206944
08/28/2017,17191.42681255
08/29/2017,17222.95268263
08/30/2017,17197.06521792
08/31/2017,17309.49447048
09/01/2017,17287.72998552
09/02/2017,17287.0332693
09/03/2017,17286.33659127
09/04/2017,17293.94979287
09/05/2017,17159.96362341
09/06/2017,17181.6371793
09/07/2017,17161.29288801
09/08/2017,17179.15969602
09/09/2017,17178.42119576
09/10/2017,17177.68109963
09/11/2017,17299.90888419
09/12/2017,17375.59649528
09/13/2017,17285.78985249
09/14/2017,17260.75323087
09/15/2017,17240.88520402
09/16/2017,17240.16605585
09/17/2017,17239.44694702
09/18/2017,17305.17618668
09/19/2017,17318.41474053
09/20/2017,17248.3877907
09/21/2017,17331.66653626
09/22/2017,17249.87563563
09/23/2017,17249.16936681
09/24/2017,17248.46313676
09/25/2017,17321.47198113
09/26/2017,17311.20488016
09/27/2017,17367.22125494
09/28/2017,17373.1159054
09/29/2017,17429.33146275
09/30/2017,17428.3907378
10/01/2017,17427.68852453
10/02/2017,17514.09063722
10/03/2017,17593.83378635
10/04/2017,17563.03019177
10/05/2017,17492.904218
10/06/2017,17558.36389757
10/07/2017,17557.69492576
10/08/2017,17557.02599056
10/09/2017,17553.07554595
10/10/2017,17633.28476203
10/11/2017,17716.21410574
10/12/2017,17693.76609414
10/13/2017,17628.93775196
10/14/2017,17628.20446264
10/15/2017,17627.47271813
10/16/2017,17626.74101364
10/17/2017,17696.87965071
10/18/2017,17654.23448583
10/19/2017,17572.14641496
10/20/2017,17667.86920807
10/21/2017,17667.11991405
10/22/2017,17666.3780394
10/23/2017,17684.56494254
10/24/2017,17824.29704567
10/25/2017,17886.80203025
10/26/2017,17982.66197439
10/27/2017,18046.404671
10/28/2017,18045.65648652
10/29/2017,18044.90834302
10/30/2017,18070.00244958
10/31/2017,18254.76393866
11/01/2017,18287.46500776
11/02/2017,18392.69621856
11/03/2017,18390.48191115
11/04/2017,18389.71100022
11/05/2017,18388.9401315
11/06/2017,18388.1678342
11/07/2017,18254.5486631
11/08/2017,18222.09391646
11/09/2017,18160.2562424
11/10/2017,18075.0403233
11/11/2017,18074.32921734
11/12/2017,18073.61667224
11/13/2017,18072.90564432
11/14/2017,18092.435993
11/15/2017,18079.08422773
11/16/2017,18123.37696804
11/17/2017,18068.16449713
11/18/2017,18067.41056068
11/19/2017,18066.65666557
11/20/2017,18131.6023394
11/21/2017,18151.67438956
11/22/2017,18091.19275929
11/23/2017,18098.37349895
11/24/2017,18099.19759974
11/25/2017,18098.43903696
11/26/2017,18097.68051572
11/27/2017,18120.64627274
11/28/2017,18269.71729897
11/29/2017,18258.33257617
11/30/2017,18252.45813179
12/01/2017,18229.99582733
12/02/2017,18229.25612711
12/03/2017,18228.51646742
12/04/2017,18135.7877265
12/05/2017,18123.77707492
12/06/2017,18154.25948185
12/07/2017,18238.64359404
12/08/2017,18237.87151051
12/09/2017,18237.09946932
12/10/2017,18236.32747048
12/11/2017,18329.14383756
12/12/2017,18406.95597357
12/13/2017,18351.89391654
12/14/2017,18230.12252873
12/15/2017,18241.74958563
12/16/2017,18240.98864653
12/17/2017,18240.22628676
12/18/2017,18221.44838183
12/19/2017,18124.12293486
12/20/2017,18071.34204005
12/21/2017,18061.58913299
12/22/2017,18079.21686872
12/23/2017,18078.44513543
12/24/2017,18077.67344444
12/25/2017,18076.90036173
12/26/2017,18106.13873466
12/27/2017,18170.36871114
12/28/2017,18274.23103943
12/29/2017,18273.44415948
12/30/2017,18272.66707948
12/31/2017,18271.88861681
01/01/2018,18271.11150868
01/02/2018,18106.91236716
01/03/2018,18003.98895191
01/04/2018,17959.70231399
01/05/2018,18106.73897913
01/06/2018,18105.95372489
01/07/2018,18105.16711046
01/08/2018,18104.38194223
01/09/2018,18245.50305844
01/10/2018,18116.65002888
01/11/2018,17985.57401465
01/12/2018,18027.3986032
01/13/2018,18026.61969864
01/14/2018,18025.84876899
01/15/2018,18054.90432057
01/16/2018,18113.72486691
01/17/2018,18078.53458056
01/18/2018,17988.97422756
01/19/2018,18131.40215431
01/20/2018,18130.6416041
01/21/2018,18129.87983356
01/22/2018,18228.38858153
01/23/2018,18305.83819669
01/24/2018,18106.00241618
01/25/2018,17876.61034075
01/26/2018,18108.39677814
01/27/2018,18107.62725252
01/28/2018,18106.85657179
01/29/2018,18259.3061688
01/30/2018,18143.32703657
01/31/2018,18102.15737861
02/01/2018,17926.67845665
02/02/2018,17838.09163718
02/03/2018,17837.33785882
02/04/2018,17836.58240284
02/05/2018,17471.81524345
02/06/2018,17568.04175172
02/07/2018,17385.10576324
02/08/2018,17258.85280114
02/09/2018,17525.5968065
02/10/2018,17524.84886174
02/11/2018,17524.10038167
02/12/2018,17636.92573103
02/13/2018,17689.05917641
02/14/2018,17793.65229972
02/15/2018,17684.3467989
02/16/2018,17767.26692073
02/17/2018,17766.51455825
02/18/2018,17765.76339245
02/19/2018,17765.82100481
02/20/2018,17734.64090247
02/21/2018,17771.58029509
02/22/2018,17768.62513911
02/23/2018,17719.4455092
02/24/2018,17718.73370681
02/25/2018,17718.02138122
02/26/2018,17858.30487498
02/27/2018,17793.60653205
02/28/2018,17716.14358267
03/01/2018,17643.05987729
03/02/2018,17600.51263209
03/03/2018,17599.74736241
03/04/2018,17598.98157646
03/05/2018,17552.90407077
03/06/2018,17554.90959583
03/07/2018,17642.94391501
03/08/2018,17756.35190627
03/09/2018,17856.72304585
03/10/2018,17855.93761931
03/11/2018,17855.15277168
03/12/2018,17827.99579036
03/13/2018,17754.79369294
03/14/2018,17696.73963687
03/15/2018,17718.33087609
03/16/2018,17728.5026958
03/17/2018,17727.73090458
03/18/2018,17726.96022137
03/19/2018,17726.18851477
03/20/2018,17696.84316839
03/21/2018,17620.96538547
03/22/2018,17474.95409352
03/23/2018,17227.76884145
03/24/2018,17227.02501624
03/25/2018,17226.28176478
03/26/2018,17092.45378845
03/27/2018,16952.070136
03/28/2018,16852.83834547
03/29/2018,16852.12536117
03/30/2018,16851.41294993
03/31/2018,16850.70057777
04/01/2018,16849.98669568
04/02/2018,16949.73841976
04/03/2018,16880.12117774
04/04/2018,16947.31826206
04/05/2018,17043.9174371
04/06/2018,17020.65423676
04/07/2018,17019.91181224
04/08/2018,17019.16997026
04/09/2018,16964.07551784
04/10/2018,16954.64582285
04/11/2018,16773.43879289
04/12/2018,16666.32945166
04/13/2018,16631.79809592
04/14/2018,16631.05230687
04/15/2018,16630.31866909
04/16/2018,16771.50015803
04/17/2018,16847.0086931
04/18/2018,16811.49759435
04/19/2018,16888.92919045
04/20/2018,16984.0150508
04/21/2018,16983.24302055
04/22/2018,16982.47214135
04/23/2018,17177.03775309
04/24/2018,17035.92140752
04/25/2018,17127.34758261
04/26/2018,17147.61187895
04/27/2018,17171.57274785
04/28/2018,17170.79976307
04/29/2018,17170.02571134
04/30/2018,17177.56114506
05/01/2018,17176.78167369
05/02/2018,17233.79526116
05/03/2018,17289.79145007
05/04/2018,17295.43996477
05/05/2018,17294.63953543
05/06/2018,17293.83859085
05/07/2018,17172.11513386
05/08/2018,17490.17019244
05/09/2018,17467.83762517
05/10/2018,17368.73870978
05/11/2018,17420.85665377
05/12/2018,17420.03776489
05/13/2018,17419.19479272
05/14/2018,17418.37711709
05/15/2018,17737.41641853
05/16/2018,17595.57342317
05/17/2018,17728.38384075
05/18/2018,17906.86685281
05/19/2018,17906.05061259
05/20/2018,17905.23385504
05/21/2018,17793.15953979
05/22/2018,17548.742173
05/23/2018,17550.58083287
05/24/2018,17536.32963206
05/25/2018,17670.62479936
05/26/2018,17669.83185893
05/27/2018,17669.03951944
05/28/2018,17668.49639714
05/29/2018,17562.07729702
05/30/2018,17531.99830526
05/31/2018,17594.75312726
06/01/2018,17537.87113763
06/02/2018,17537.10495989
06/03/2018,17536.33825893
06/04/2018,17535.57159991
06/05/2018,17610.32663492
06/06/2018,17465.38999193
06/07/2018,17521.5735235
06/08/2018,17606.32859378
06/09/2018,17605.49883756
06/10/2018,17604.68033738
06/11/2018,17603.86244723
06/12/2018,17658.73825532
06/13/2018,17670.43208109
06/14/2018,17653.06379758
06/15/2018,17775.65059189
06/16/2018,17774.82316101
06/17/2018,17774.02712108
06/18/2018,17897.72188466
06/19/2018,17832.9273974
06/20/2018,17762.68710878
06/21/2018,17883.52564317
06/22/2018,17775.80295335
06/23/2018,17774.98198593
06/24/2018,17774.18575558
06/25/2018,17665.94608865
06/26/2018,17634.9778971
06/27/2018,17651.4154295
06/28/2018,17663.96626122
06/29/2018,17690.80928253
06/30/2018,17689.99801997
07/01/2018,17689.19443089
07/02/2018,17688.39030723
07/03/2018,17514.9930653
07/04/2018,17494.52389258
07/05/2018,17405.52172377
07/06/2018,17408.46802247
07/07/2018,17407.66190633
07/08/2018,17406.85583429
07/09/2018,17614.73231756
07/10/2018,17592.4095788
07/11/2018,17524.1767218
07/12/2018,17590.45710626
07/13/2018,17520.67726787
07/14/2018,17519.85175745
07/15/2018,17519.02629219
07/16/2018,17550.90359039
07/17/2018,17631.15301318
07/18/2018,17642.93499813
07/19/2018,17635.51769953
07/20/2018,17634.68130577
07/21/2018,17633.84372066
07/22/2018,17633.00741857
07/23/2018,17736.38592846
07/24/2018,17821.26198772
07/25/2018,17788.21431559
07/26/2018,17830.87312127
07/27/2018,17785.1308281
07/28/2018,17784.29761244
07/29/2018,17783.46444245
07/30/2018,17693.96885848
07/31/2018,17761.94390024
08/01/2018,17772.08909014
08/02/2018,17770.72615222
08/03/2018,17784.18777224
08/04/2018,17783.36756573
08/05/2018,17782.54615552
08/06/2018,17785.8991237
08/07/2018,17785.07892137
08/08/2018,17914.72123212
08/09/2018,17965.60987966
08/10/2018,17943.5651969
08/11/2018,17942.72628576
08/12/2018,17941.87491043
08/13/2018,18095.34336613
08/14/2018,18212.05638744
08/15/2018,18306.19305898
08/16/2018,18242.13542423
08/17/2018,18296.5791207
08/18/2018,18295.74020403
08/19/2018,18294.90003824
08/20/2018,18294.06121352
08/21/2018,18256.21138896
08/22/2018,18149.98803317
08/23/2018,18180.72396486
08/24/2018,18123.05495079
08/25/2018,18122.18778863
08/26/2018,18121.31935292
08/27/2018,18059.77185022
08/28/2018,18309.12336982
08/29/2018,18546.29283574
08/30/2018,18632.677797
08/31/2018,18734.53683576
09/01/2018,18733.63774602
09/02/2018,18732.74003095
09/03/2018,18738.19835366
09/04/2018,18846.60805742
09/05/2018,18817.39049634
09/06/2018,18708.84903753
09/07/2018,18561.6297361
09/08/2018,18560.74474306
09/09/2018,18559.85979856
09/10/2018,18562.22363424
09/11/2018,18665.55011427
09/12/2018,18522.6938884
09/13/2018,18382.6485042
09/14/2018,18472.30690742
09/15/2018,18471.44652382
09/16/2018,18470.58280676
09/17/2018,18359.24052661
09/18/2018,18370.24341859
09/19/2018,18482.42191672
09/20/2018,18570.72053384
09/21/2018,18568.76008949
09/22/2018,18567.95230219
09/23/2018,18567.13982431
09/24/2018,18418.26412694
09/25/2018,18489.40352323
09/26/2018,18485.85833084
09/27/2018,18431.60746536
09/28/2018,18279.07802735
09/29/2018,18278.29393134
09/30/2018,18277.50987823
10/01/2018,18428.78601543
10/02/2018,18428.77202586
10/03/2018,18464.84534147
10/04/2018,18373.96318752
10/05/2018,18296.22509025
10/06/2018,18295.42767575
10/07/2018,18294.63030486
10/08/2018,18232.69030409
10/09/2018,18371.32009112
10/10/2018,18314.75883615
10/11/2018,18026.08667541
10/12/2018,18107.92453102
10/13/2018,18107.14583771
10/14/2018,18106.36238024
10/15/2018,18105.58377263
10/16/2018,18081.04671829
10/17/2018,18091.63715405
10/18/2018,18121.73449885
10/19/2018,18059.59145009
10/20/2018,18058.79912167
10/21/2018,18058.00197543
10/22/2018,18072.1175887
10/23/2018,18033.56819996
10/24/2018,18067.95349726
10/25/2018,18180.72616863
10/26/2018,18149.0029276
10/27/2018,18148.1931839
10/28/2018,18147.38348451
10/29/2018,18152.29227563
10/30/2018,18233.44257782
10/31/2018,18507.25218091
11/01/2018,18490.91918128
11/02/2018,18463.07338284
11/03/2018,18462.32623004
11/04/2018,18461.58413411
11/05/2018,18460.83706285
11/06/2018,18386.0653812
11/07/2018,18495.6858844
11/08/2018,18515.50200919
11/09/2018,18534.76877383
11/10/2018,18533.97348853
11/11/2018,18533.1782469
11/12/2018,18532.38810927
11/13/2018,18472.3346921
11/14/2018,18407.21313458
11/15/2018,18453.9141366
11/16/2018,18402.52932272
11/17/2018,18401.77071809
11/18/2018,18401.01215512
11/19/2018,18344.89710549
11/20/2018,18154.39788779
11/21/2018,18265.3478434
11/22/2018,18216.04311918
11/23/2018,18346.05487628
11/24/2018,18345.25964936
11/25/2018,18344.46446603
11/26/2018,18551.63768976
11/27/2018,18614.32115628
11/28/2018,18863.67963872
11/29/2018,18773.39765626
11/30/2018,18756.13422055
12/01/2018,18755.32494122
12/02/2018,18754.52098652
12/03/2018,18726.94748734
12/04/2018,18472.35322244
12/05/2018,18271.57044049
12/06/2018,18189.71132713
12/07/2018,18008.6384662
12/08/2018,18007.88437837
12/09/2018,18007.13033177
12/10/2018,17936.50235056
12/11/2018,18099.75741509
12/12/2018,18134.78946091
12/13/2018,18157.25627356
12/14/2018,18091.33244375
12/15/2018,18090.56706626
12/16/2018,18089.79613216
12/17/2018,17944.92673894
12/18/2018,17920.03923979
12/19/2018,17986.3315804
12/20/2018,17944.20991401
12/21/2018,18009.11220588
12/22/2018,18008.35403612
12/23/2018,18007.59590792
12/24/2018,17817.81046567
12/25/2018,17817.05485277
12/26/2018,17963.89665391
12/27/2018,17944.85741478
12/28/2018,17975.4571683
12/29/2018,17974.68771893
12/30/2018,17973.91831174
12/31/2018,17973.1627716
01/01/2019,17972.40996971
01/02/2019,18000.53571929
01/03/2019,17854.68588667
01/04/2019,17914.88547601
01/05/2019,17914.11249156
01/06/2019,17913.33954948
01/07/2019,17912.56664976
01/08/2019,17881.91254485
01/09/2019,17836.39347731
01/10/2019,17904.57568294
01/11/2019,17982.05760941
01/12/2019,17981.30677849
01/13/2019,17980.56166365
01/14/2019,17879.69089336
01/15/2019,17920.82224002
01/16/2019,17928.56795122
01/17/2019,18019.71265198
01/18/2019,18073.10213991
01/19/2019,18072.34638185
01/20/2019,18071.5906653
01/21/2019,18067.60130606
01/22/2019,18057.8121074
01/23/2019,18081.27503007
01/24/2019,18187.78551273
01/25/2019,18277.94709564
01/26/2019,18277.16257508
01/27/2019,18276.38386376
01/28/2019,18286.23895903
01/29/2019,18240.05925091
01/30/2019,18373.73884878
01/31/2019,18267.77685474
02/01/2019,18220.9545246
02/02/2019,18220.17843986
02/03/2019,18219.25458794
02/04/2019,18157.09979797
02/05/2019,18258.00905857
02/06/2019,18327.8650677
02/07/2019,18192.95279537
02/08/2019,18171.47883334
02/09/2019,18170.7209964
02/10/2019,18169.96320097
02/11/2019,18298.76411696
02/12/2019,18414.06945941
02/13/2019,18475.05517565
